id,competition_name,team_name,points,time_taken
1,Algorithm Clash,Binary Brigade,11,0:35
2,CodeMaster Challenge,Code Commandos,3,1:25
3,HackCodeFrenzy,Data Dazzlers,24,1:52
4,HackCodeMania,Tech Titans,55,1:34
5,Coder's Colosseum,Cyber Crusaders,4,1:25
6,Algorithmic Rumble,Innovation Instigators,51,0:32
7,ByteBlitz Bonanza,Hack Hounds,39,0:51
8,Coder's Colosseum,Pixel Pioneers,21,0:57
9,CodeCombat Challenge,Algorithm Avengers,100,0:43
10,Algorithmic Rumble,Byte Brawlers,76,1:12
11,DevBattle Royale,Code Captains,62,0:44
12,CodeMaster Challenge,Data Daredevils,12,0:40
13,Algorithm Clash,Tech Trojans,61,0:48
14,Coder's Quest,Cyber Savvy,91,1:11
15,CodeCrunch Challenge,Innovation Illuminati,28,1:28
16,DevBattle Royale,Hack Heroes,98,0:40
17,Coder's Colosseum,Digital Dons,41,1:18
18,DevHacker's Showdown,Code Connoisseurs,51,1:18
19,Coder's Quest,Data Dominators,57,0:39
20,Coder's Colosseum,Tech Trailblazers,31,1:51
21,Algorithmic Thunderdome,Pixel Professionals,79,0:39
22,Algorithm Clash,Byte Bandits,76,0:43
23,CodeWarrior's Clash,Innovation Innovators,77,0:47
24,Algorithm Clash,Hack Hammers,97,0:54
25,Algorithmic Thunderdome,Data Defenders,43,1:56
26,Algorithm Clash,Code Crusaders,84,1:09
27,DevHacker's Showdown,Tech Tornadoes,16,0:37
28,CodeWarrior's Clash,Cyber Commandos,32,1:48
29,CodeSprint Royale,Algorithm Architects,86,1:37
30,Algorithmic Rumble,Pixel Pundits,80,0:47
31,ByteBlitz Bonanza,Code Cognoscenti,69,0:36
32,Hackathon CodeWarriors,Data Dynamos,60,1:26
33,DevHacker's Showdown,Innovation Invincibles,97,0:58
34,Coder's Colosseum,Tech Streets,51,1:38
35,ByteBrawl Coding Cup,Diamond Hackers,30,1:09
36,Algorithmic Showdown,Code Commanders,1,1:54
37,DevHacker's Showdown,Data Divas,4,0:33
38,HackGenius Championship,Tech Troopers,74,0:44
39,ByteBrawl Coding Cup,Byte Brigade,64,0:36
40,Algorithm Clash,Code Conquerors,37,0:54
41,Coder's Quest,Competition Coders,68,1:00
42,CodeMaze Challenge,Byte Band,90,1:45
43,Algorithmic Thunderdome,PixelProdigies,92,1:28
44,Algorithm Clash,CodeConquerors,93,1:14
45,HackCodeMania,CyberDefenders,97,1:12
46,HackGenius Championship,ByteBenders,94,1:01
47,HackCodeMania,TechTacticians,46,1:04
48,Algorithmic Showdown,HackHustlers,51,1:15
49,ByteBrawl Coding Cup,InnovateInnovators,16,0:49
50,HackCodeFrenzy,DataDelighters,19,1:07
51,Coder's Quest,PixelPundits,6,1:23
52,CodeWarrior's Clash,CodeClimbers,8,1:32
53,HackCodeMania,CyberChampions,42,1:33
54,CodeMaze Challenge,ByteBrawlers,11,0:47
55,DevBattle Royale,TechTerminators,27,1:39
56,Algorithmic Showdown,HackHive,45,1:16
57,Coder's Quest,InnovateInsiders,86,1:38
58,HackCodeFrenzy,DataDashers,34,1:50
59,CodeWarrior's Clash,PixelPaladins,41,1:56
60,CodeSprint Royale,CodeCatalysts,33,1:57
61,Algorithm Clash,CyberEnforcers,8,0:55
62,DevBattle Royale,ByteBlasters,74,1:27
63,HackCodeFrenzy,MillenniumFalconForce,68,0:47
64,CodeSprint Royale,HackHeads,87,1:28
65,Coder's Quest,InnovateIlluminators,3,1:55
66,ByteBrawl Coding Cup,DataDeities,24,1:27
67,ByteBrawl Coding Cup,PixelPirates,24,0:50
68,CodeCrunch Challenge,CodeCommanders,53,1:03
69,HackCodeMania,CyberFusion,53,1:45
70,DevBattle Royale,ByteBandits,54,1:21
71,CodeCrunch Challenge,HackHeroes,67,1:23
72,CodeMaze Challenge,DataDazzlers,59,1:41
73,HackGenius Championship,PixelPioneers,72,1:03
74,ByteBrawl Coding Cup,CodeCreators,18,0:32
75,Hackathon CodeWarriors,CyberKnights,52,0:35
76,Algorithm Clash,ByteBusters,19,0:34
77,HackGenius Championship,TechTrailblazers,19,1:58
78,Algorithm Clash,HackHunters,12,1:11
79,HackCodeFrenzy,InnovateGeniuses,98,1:41
80,CodeCrunch Challenge,DataDrivenDreamers,35,1:54
81,Algorithm Clash,TechTransformers,32,0:39
82,CodeCrunch Challenge,TechTitans,22,0:56
83,CodeMaster Challenge,QuantumTechs,38,1:54
84,CodeCombat Challenge,NexusInnovators,42,1:30
85,CodeWarrior's Clash,VortexVanguards,32,1:42
86,CodeWarrior's Clash,StellarSprinters,67,1:15
87,Coder's Quest,HyperionHackers,1,0:40
88,CodeCombat Challenge,NebulaNavigators,39,1:12
89,Algorithm Clash,SupernovaSquad,69,1:42
90,ByteBrawl Coding Cup,FusionFrenzy,72,1:09
91,Coder's Colosseum,SolarisSynergists,69,1:48
92,Coder's Quest,WarpWaveRiders,60,0:36
93,CodeCrunch Challenge,ElectraElite,88,1:39
94,HackGenius Championship,NovaNomads,77,1:22
95,Algorithmic Thunderdome,GravityGurus,13,1:51
96,HackGenius Championship,CosmosCrew,58,0:41
97,CodeMaster Challenge,AuroraAvengers,63,1:30
98,Algorithmic Rumble,PlasmaPioneers,59,1:04
99,DevBattle Royale,OrionOutlaws,83,1:13
100,Hackathon CodeWarriors,SpectraSprint,59,1:12
101,Hackathon CodeWarriors,MeteorMarauders,32,1:49
102,HackCodeFrenzy,AlphaArchitects,68,0:38
103,CodeCombat Challenge,TerraTechTitans,10,0:50
104,CodeCombat Challenge,QuasarQuesters,14,0:51
105,Coder's Colosseum,CelestialChampions,26,0:46
106,CodeCombat Challenge,CometCrusaders,36,1:54
107,Coder's Colosseum,InfinityInnovators,28,1:07
108,HackCodeFrenzy,SatelliteSprinters,14,1:43
109,HackCodeMania,GammaGalaxyGang,60,0:54
110,Algorithmic Showdown,CosmicCrew,9,1:31
111,Coder's Colosseum,StarStormers,40,1:07
112,ByteBlitz Bonanza,SolarFlareSquad,30,1:09
113,HackCodeMania,UranusUltrons,9,1:00
114,Algorithmic Rumble,VelocityVoyagers,100,0:36
115,Hackathon CodeWarriors,EclipseEnforcers,22,1:38
116,DevBattle Royale,LightningLegion,20,1:19
117,CodeCombat Challenge,AstroAssassins,32,1:43
118,HackCodeFrenzy,NebulaNinjas,84,0:35
119,Coder's Colosseum,PlasmaPatrol,81,0:53
120,Algorithmic Thunderdome,HyperDriveHeroes,66,0:33
121,ByteBrawl Coding Cup,QuarkQuantum,32,0:53
122,HackGenius Championship,SpectrumSaviors,56,1:34
123,DevHacker's Showdown,XenoXperts,80,1:51
124,DevHacker's Showdown,StellarStrikers,1,1:03
125,HackGenius Championship,OmegaOpportunists,7,0:35
126,Algorithm Clash,WarpWaveWarriors,87,0:31
127,CodeWarrior's Clash,MoonshotMavericks,32,1:44
128,Hackathon CodeWarriors,OrionOverlords,3,1:52
129,ByteBlitz Bonanza,AuroraAdventurers,59,1:26
130,Algorithm Clash,CelestialChallengers,83,1:59
131,Hackathon CodeWarriors,AlphaAstroArtists,71,0:48
132,Coder's Colosseum,TerraTechTroopers,22,1:23
133,Hackathon CodeWarriors,JediJuggernauts,80,0:48
134,CodeWarrior's Clash,SithSlayers,31,1:31
135,Coder's Colosseum,DeathStarDestroyers,17,1:00
136,CodeCrunch Challenge,RebelRenegades,82,1:33
137,CodeCrunch Challenge,ForceFury,60,1:31
138,DevBattle Royale,GalacticGuardians,78,0:46
139,HackCodeFrenzy,DarkSideDemolishers,95,1:42
140,DevBattle Royale,LightSideLegends,32,0:33
141,CodeSprint Royale,StarfighterSquadron,32,0:36
142,Algorithmic Showdown,SithLordSlayers,45,0:36
143,Algorithm Clash,WookieeWarriors,61,1:33
144,Hackathon CodeWarriors,ImperialInquisitors,6,1:32
145,HackGenius Championship,RebelAllianceRangers,95,1:47
146,CodeMaster Challenge,DroidDefenders,30,1:17
147,HackCodeFrenzy,ForceAwakenedHeroes,92,1:18
148,HackCodeFrenzy,LightsaberLegion,85,1:42
149,CodeWarrior's Clash,CloneTrooperCommandos,43,1:07
150,DevHacker's Showdown,ResistanceRising,69,1:02
151,CodeMaster Challenge,MandalorianMercenaries,67,1:01
152,Hackathon CodeWarriors,EwokEradicators,98,1:12
153,CodeCombat Challenge,SithSorcerers,55,1:16
154,DevBattle Royale,JediMasters,48,1:38
155,CodeCrunch Challenge,ImperialStormtroopers,7,0:37
156,CodeCombat Challenge,RebelRevolutionaries,52,1:52
157,CodeSprint Royale,GalacticBountyHunters,60,1:14
158,ByteBlitz Bonanza,DarkSideDestroyers,96,1:44
159,DevHacker's Showdown,LightSideLiberators,5,1:33
160,CodeMaze Challenge,StarWarsStrikers,4,1:15
161,CodeSprint Royale,MillenniumFalconFury,62,1:54
162,Algorithmic Rumble,SithAssassins,92,1:53
163,Algorithm Clash,WookieeWarlords,24,1:08
164,CodeWarrior's Clash,ImperialInfiltrators,21,1:04
165,ByteBlitz Bonanza,RebelAllianceAssault,99,1:03
166,CodeCombat Challenge,DroidDestructionSquad,19,0:57
167,ByteBrawl Coding Cup,ForceAwakenedDefenders,19,1:41
168,ByteBlitz Bonanza,LightsaberWielders,50,1:19
169,DevHacker's Showdown,CloneTrooperCorps,75,0:53
170,ByteBrawl Coding Cup,ResistanceRangers,51,0:47
171,CodeCrunch Challenge,MandalorianMarauders,79,0:47
172,CodeCrunch Challenge,EwokEliminators,45,1:53
173,CodeCombat Challenge,SithShadowLords,29,1:53
174,Algorithm Clash,JediProtectors,21,0:54
175,CodeSprint Royale,ImperialEliteForce,50,0:54
176,CodeSprint Royale,RebelResistanceRaiders,55,1:58
177,CodeSprint Royale,GalacticGuardForce,99,0:50
178,CodeCrunch Challenge,DarkSideDominators,15,1:24
179,Algorithmic Thunderdome,LightSideLiberationArmy,74,1:07
180,ByteBlitz Bonanza,StarWarsSentinels,20,0:50
181,Coder's Colosseum,LightningBoltz,54,1:45
182,Coder's Quest,RagingRacketeers,33,1:45
183,HackGenius Championship,BlazeBlasters,24,0:50
184,Coder's Colosseum,TitansTornadoes,30,1:00
185,Algorithmic Showdown,ViperVictors,50,1:30
186,HackGenius Championship,AvalancheAvengers,97,0:35
187,ByteBrawl Coding Cup,StormingStriders,96,1:16
188,CodeSprint Royale,BlitzkriegBlitzers,52,1:14
189,ByteBrawl Coding Cup,RampageRacers,86,0:42
190,CodeSprint Royale,CycloneCrushers,95,0:32
191,HackGenius Championship,ThunderingTigers,100,0:49
192,Algorithmic Thunderdome,RedDevilsRaiders,3,0:32
193,CodeCombat Challenge,SwiftStrikers,4,0:56
194,HackCodeMania,RazorbacksUnited,64,1:34
195,HackCodeMania,AvalancheAchievers,24,0:56
196,HackGenius Championship,StormingStars,13,0:53
197,CodeMaze Challenge,BlitzkriegBombers,34,1:23
198,HackCodeMania,RampageRunners,34,1:28
199,Algorithmic Showdown,CycloneCyclones,37,1:11
200,HackCodeFrenzy,ProgramPanthers,15,1:12
